,Gross domestic product 2021,,,,
,,,,,
,,,,(millions of,
,Ranking,,Economy,US dollars),
,,,,,
XKX,148,,Kosovo," 9,412 ",
TJK,149,,Tajikistan," 8,746 ",
MCO,150,,Monaco," 8,596 ",
KGZ,151,,Kyrgyz Republic," 8,543 ",
TGO,152,,Togo," 8,413 ",
GUY,153,,Guyana," 8,044 ",
SOM,154,,Somalia," 7,628 ",
IMN,155,,Isle of Man," 7,315 ",
BMU,156,,Bermuda," 7,287 ",
GUM,157,,Guam," 6,123 ",
LIE,158,,Liechtenstein," 6,114 ",
PYF,159,,French Polynesia," 6,055 ",
CYM,160,,Cayman Islands," 5,898 ",
MNE,161,,Montenegro," 5,861 ",
MDV,162,,Maldives," 5,406 ",
BRB,163,,Barbados," 4,844 ",
SWZ,164,,Eswatini," 4,743 ",
FJI,165,,Fiji," 4,296 ",
VIR,166,,Virgin Islands (U.S.)," 4,204 ",
SLE,167,,Sierra Leone," 4,042 ",
FRO,168,,Faroe Islands," 3,650 ",
TLS,169,,Timor-Leste," 3,621 ",
LBR,170,,Liberia," 3,509 ",
DJI,171,,Djibouti," 3,483 ",
AND,172,,Andorra," 3,330 ",
ABW,173,,Aruba," 3,126 ",
GRL,174,,Greenland," 3,076 ",
SUR,175,,Suriname," 2,985 ",
BDI,176,,Burundi," 2,780 ",
CUW,177,,Curaçao," 2,700 ",
BTN,178,,Bhutan," 2,540 ",
CAF,179,,Central African Republic," 2,516 ",
LSO,180,,Lesotho," 2,496 ",
BLZ,181,,Belize," 2,492 ",
GMB,182,,"Gambia, The"," 2,038 ",
CPV,183,,Cabo Verde," 1,936 ",
LCA,184,,St. Lucia," 1,691 ",
GNB,185,,Guinea-Bissau," 1,639 ",
SLB,186,,Solomon Islands," 1,631 ",
SMR,187,,San Marino," 1,541 ",
ATG,188,,Antigua and Barbuda," 1,471 ",
SYC,189,,Seychelles," 1,454 ",
COM,190,,Comoros," 1,296 ",
MNP,191,,Northern Mariana Islands," 1,182 ",
GRD,192,,Grenada," 1,123 ",
VUT,193,,Vanuatu, 956 ,
TCA,194,,Turks and Caicos Islands, 943 ,
VCT,195,,St. Vincent and the Grenadines, 904 ,
KNA,196,,St. Kitts and Nevis, 861 ,
WSM,197,,Samoa, 844 ,
ASM,198,,American Samoa, 709 ,
DMA,199,,Dominica, 554 ,
STP,200,,São Tomé and Principe, 527 ,
TON,201,,Tonga, 469 ,
FSM,202,,"Micronesia, Fed. Sts.", 404 ,
MHL,203,,Marshall Islands, 260 ,
PLW,204,,Palau, 218 ,
KIR,205,,Kiribati, 207 ,
NRU,206,,Nauru, 133 ,
TUV,207,,Tuvalu, 63 ,
VGB,,,British Virgin Islands, -   ,
CHI,,,Channel Islands, -   ,
ERI,,,Eritrea, -   ,
GIB,,,Gibraltar, -   ,
PRK,,,"Korea, Dem. People's Rep.", -   ,
SXM,,,Sint Maarten (Dutch part), -   ,
SSD,,,South Sudan, -   ,
MAF,,,St. Martin (French part), -   ,
VEN,,,"Venezuela, RB", -   ,
YEM,,,"Yemen, Rep.", -   ,
,,,,,
,,,,,
,,,,,
WLD,,,World," 96,513,077 ",
,,,,#N/A,
,,,,,
EAS,,,East Asia & Pacific," 30,911,686 ",
ECS,,,Europe & Central Asia," 25,082,834 ",
LCN,,,Latin America & Caribbean," 5,454,429 ",
MEA,,,Middle East & North Africa," 3,676,799 ",
NAC,,,North America," 25,310,703 ",
SAS,,,South Asia," 4,088,771 ",
SSF,,,Sub-Saharan Africa," 1,920,899 ",
LIC,,,Low income," 506,017 ",
LMC,,,Lower middle income," 8,742,535 ",
UMC,,,Upper middle income," 27,104,087 ",
HIC,,,High income," 59,829,674 ",
,,,,,
,".. Not available.  
Note: Table list 217 economies, but rankings include only those with confirmed GDP estimates for at least one year during the last three years period. Figures in italics are for 2020 or 2019.
a. Based on data from official statistics of Ukraine and Russian Federation; by relying on these data, the World Bank does not intend to make any judgment on the legal or other status of the territories concerned or to prejudice the final determination of the parties' claims.  b. Includes Western Sahara.  c. Covers mainland Tanzania only.  d. Data are for the area controlled by the government of Cyprus.  e. Excludes Abkhazia and South Ossetia.  f. Excludes Transnistria.",,,,
,,,,,
,,,,,
,GDP data source: http://data.worldbank.org/data-catalog/world-development-indicators,,,,
,GDP projections:  http://data.worldbank.org/data-catalog/global-economic-prospects,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
